"","x"
"1","ABAT"
"2","ABCB8"
"3","ACSM5"
"4","ADAMTS13"
"5","ADCK1"
"6","ADRA2B"
"7","AFM"
"8","ALB"
"9","ALDH2"
"10","ALDH6A1"
"11","ALDH8A1"
"12","ALG1"
"13","ALG3"
"14","ALG8"
"15","ANGPTL6"
"16","APOF"
"17","ARMC1"
"18","ARPC1A"
"19","ARV1"
"20","ATG12"
"21","BAP1"
"22","BCO2"
"23","BOLA3"
"24","C15orf61"
"25","C19orf25"
"26","C1R"
"27","C21orf91"
"28","C6"
"29","C8A"
"30","C8B"
"31","C8orf76"
"32","C9"
"33","CALR"
"34","CAMLG"
"35","CCBE1"
"36","CCDC107"
"37","CCDC159"
"38","CCL23"
"39","CD302"
"40","CD4"
"41","CDC37L1"
"42","CDH13"
"43","CFP"
"44","CHCHD4"
"45","CHRM2"
"46","CLEC1B"
"47","CLEC4M"
"48","CLPTM1"
"49","CMC1"
"50","COL6A6"
"51","COLEC10"
"52","COMMD5"
"53","COPS5"
"54","CPEB3"
"55","CPSF1"
"56","CRELD1"
"57","CRHBP"
"58","CSNK1D"
"59","CSRNP1"
"60","CTSA"
"61","CXCL12"
"62","CXCL14"
"63","CXorf36"
"64","CYB5R1"
"65","CYHR1"
"66","CYP26A1"
"67","CYP2B6"
"68","DACH1"
"69","DAP3"
"70","DBH"
"71","DCAF8"
"72","DCN"
"73","DHODH"
"74","DHPS"
"75","DNASE1L3"
"76","DOCK6"
"77","DRAP1"
"78","DUSP6"
"79","ECM1"
"80","EGR1"
"81","EGR2"
"82","EHD3"
"83","EIF2B4"
"84","EPB41L4B"
"85","EPHA2"
"86","EPHX2"
"87","ETS2"
"88","FGB"
"89","FLAD1"
"90","FOS"
"91","FOSB"
"92","GADD45B"
"93","GLI4"
"94","GMPPA"
"95","GMPPB"
"96","GNPAT"
"97","GPAA1"
"98","GPANK1"
"99","GPATCH3"
"100","GPM6A"
"101","GPR137"
"102","GPR182"
"103","HAO1"
"104","HEMK1"
"105","HEXB"
"106","HIGD1B"
"107","HM13"
"108","HMGCL"
"109","HOGA1"
"110","HSPA4"
"111","IGFALS"
"112","IL1RAP"
"113","IL1RL1"
"114","IL1RN"
"115","IMMP1L"
"116","INMT"
"117","INS-IGF2"
"118","IPO9"
"119","IQSEC1"
"120","IRF3"
"121","ISCA2"
"122","JTB"
"123","KBTBD11"
"124","KCNN2"
"125","KEAP1"
"126","LIFR"
"127","LMAN2"
"128","LMNA"
"129","LRAT"
"130","LRRC14"
"131","MAG"
"132","MARCO"
"133","MASP1"
"134","MAST3"
"135","MAT1A"
"136","MCC"
"137","MEF2D"
"138","MEN1"
"139","MEPCE"
"140","METTL2B"
"141","MFSD2A"
"142","MLEC"
"143","MOGAT2"
"144","MPV17L2"
"145","MRPL22"
"146","MRPL53"
"147","MRPS21"
"148","MT2A"
"149","N4BP2L1"
"150","NAA20"
"151","NAAA"
"152","NAGPA"
"153","NCKIPSD"
"154","NCLN"
"155","NDRG2"
"156","NDST3"
"157","NHP2"
"158","NKAP"
"159","NOMO1"
"160","NSMCE2"
"161","NTF3"
"162","NTPCR"
"163","NXF3"
"164","OIT3"
"165","ORM1"
"166","OXA1L"
"167","PALM2"
"168","PBLD"
"169","PEX11B"
"170","PEX2"
"171","PHLDA1"
"172","PIGF"
"173","PLG"
"174","PLOD3"
"175","PLVAP"
"176","POLR2K"
"177","POLRMT"
"178","PPIB"
"179","PPP2R5A"
"180","PSMC2"
"181","PSMC4"
"182","PTBP1"
"183","PTCD1"
"184","PTH1R"
"185","PVALB"
"186","PXMP4"
"187","QARS"
"188","RABGGTA"
"189","RASGEF1B"
"190","RGS12"
"191","RING1"
"192","RND3"
"193","RNF125"
"194","RPL26L1"
"195","RPTOR"
"196","RPUSD2"
"197","RRNAD1"
"198","RRP1"
"199","RXRB"
"200","SEMA3F"
"201","SERPINA11"
"202","SHARPIN"
"203","SKP1"
"204","SLC25A3"
"205","SLC25A39"
"206","SLC26A6"
"207","SLC35B1"
"208","SLC38A2"
"209","SLC39A14"
"210","SNAP47"
"211","SOCS2"
"212","SRP9"
"213","STAB2"
"214","STEAP3"
"215","STOML1"
"216","STT3A"
"217","STX10"
"218","SUV39H1"
"219","TAF10"
"220","TAX1BP1"
"221","TAZ"
"222","TDO2"
"223","TIMD4"
"224","TMCO1"
"225","TMED9"
"226","TMEM199"
"227","TMEM26"
"228","TMEM81"
"229","TMEM9"
"230","TOMM40L"
"231","TRIB1"
"232","TRIM39"
"233","TRMT112"
"234","TSC2"
"235","TSLP"
"236","TTC1"
"237","TTC36"
"238","TUBE1"
"239","TYK2"
"240","UBA5"
"241","ULK3"
"242","UROC1"
"243","USF1"
"244","VAC14"
"245","VIPR1"
"246","VMAC"
"247","YIPF3"
"248","ZBTB22"
"249","ZFP1"
"250","ZFP36"
"251","ZMAT2"
"252","ZNF706"
